Akodon lindberghi,26.4,M
Akodon longipilis,38.9,M
Akodon lutescens,20.69,M
Akodon mansoensis,39.0,M
Akodon mimus,23.9966666667,M
Akodon molinae,32.9966666667,M
Akodon mollis,30.3966666667,M
Akodon montensis,31.32,M
Akodon mystax,18.5,M
Akodon neocenus,42.3966666667,M
Akodon nigrita,19.9,M
Akodon oenos,31.32,M
Akodon olivaceus,26.9,M
Akodon orophilus,38.9966666667,M
Akodon paranaensis,31.32,M
Akodon pervalens,31.32,M
Akodon puer,20.7,M
Akodon reigi,31.32,M
Akodon sanborni,24.7,M
Akodon sanctipaulensis,27.1,M
Akodon serrensis,28.3,M
Akodon siberiae,34.6,M
Akodon simulator,42.5,M
Akodon spegazzinii,28.6,M
Akodon subfuscus,30.3966666667,M
Akodon surdus,38.9966666667,M
Akodon sylvanus,38.9966666667,M
Akodon toba,51.2,M
Akodon torques,38.9966666667,M
Akodon urichi,44.9,M
Akodon varius,40.0,M
Akodon xanthorhinus,19.0,M
Alaemon alaudipes,43.72,B
Alaemon hamertoni,40.5,B
Alauda arvensis,37.31,B
Alauda gulgula,26.3,B
Alauda japonica,31.75,B
Alauda razae,21.9,B
Albericus brunhildae,1.4766255722,A
Albericus darlingtoni,2.26060370146,A
Albericus exclamitans,1.58709428211,A
Albericus fafniri,1.71374882568,A
Albericus gudrunae,0.915634520327,A
Albericus gunnari,1.54989881455,A
Albericus laurini,1.23205921745,A
Albericus murritus,1.15471124649,A
Albericus rhenaurum,0.895955583525,A
Albericus sanguinopictus,1.05838549214,A
Albericus siegfriedi,1.5008839121,A
Albericus swanhildae,0.876456971859,A
Albericus tuberculus,1.23205921745,A
Albericus valkuriarum,1.36953156346,A
Albericus variegatus,1.05838549214,A
Alca torda,725.99,B
Alcedo argentata,17.84,B
Alcedo atthis,31.09,B
Alcedo azurea,34.9,B
Alcedo coerulescens,27.59,B
Alcedo cristata,15.7,B
Alcedo cyanopectus,21.5,B
Alcedo euryzona,43.08,B
Alcedo hercules,27.59,B
Alcedo leucogaster,14.5,B
Alcedo meninting,20.42,B
Alcedo pusilla,13.3,B
Alcedo quadribrachys,34.9,B
Alcedo semitorquata,47.32,B
Alcedo vintsioides,17.9,B
Alcedo websteri,60.97,B
Alcelaphus buselaphus,165313.13,M
Alcelaphus caama,176115.97,M
Alcelaphus lichtensteinii,168695.66,M
Alces alces,433299.64,M
Alces americanus,541460.44,M
Alcippe brunnea,17.43,B
Alcippe brunneicauda,14.3,B
Alcippe castaneceps,12.5,B
Alcippe chrysotis,5.5,B
Alcippe cinerea,11.0,B
Alcippe cinereiceps,10.0,B
Alcippe danisi,13.16,B
Alcippe dubia,13.16,B
Alcippe formosana,10.0,B
Alcippe grotei,14.3,B
Alcippe klossi,12.5,B
Alcippe ludlowi,10.5,B
Alcippe manipurensis,10.0,B
Alcippe morrisonia,15.26,B
Alcippe nipalensis,15.8,B
Alcippe peracensis,14.3,B
Alcippe poioicephala,20.7,B
Alcippe pyrrhoptera,13.16,B
Alcippe ruficapilla,13.16,B
Alcippe rufogularis,13.16,B
Alcippe striaticollis,13.16,B
Alcippe variegaticeps,13.16,B
Alcippe vinipectus,11.95,B
Aldabrachelys gigantea,217270.0,R
Aleadryas rufinucha,40.5,B
Alectoris barbara,416.33,B
Alectoris chukar,502.1,B
